,country,diversity,year
2067004,URY,471,1996
2072021,USA,1689,1996
2077038,UZB,290,1996
2082055,VCT,180,1996
2087072,VEN,248,1996
2092089,VGB,120,1996
2097106,VNM,520,1996
2102123,VUT,60,1996
2107140,WLF,30,1996
2112157,WSM,45,1996
2117174,YEM,55,1996
2122191,ZA1,845,1996
2127208,ZMB,237,1996
2132225,ZWE,443,1996
2137242,ABW,20,1997
2142259,AFG,189,1997
2147276,AGO,18,1997
2152293,AIA,137,1997
2157310,ALB,521,1997
2162327,AND,411,1997
2167344,ANT,141,1997
2172361,ARE,273,1997
2177378,ARG,586,1997
2182395,ARM,481,1997
2187412,ATF,9,1997
2192429,ATG,166,1997
2197446,AUS,720,1997
2202463,AUT,1463,1997
2207480,AZE,352,1997
2212497,BDI,62,1997
2217514,BEL,1520,1997
2222531,BEN,88,1997
2227548,BFA,205,1997
2232565,BGD,354,1997
2237582,BGR,1063,1997
2242599,BHR,122,1997
2247616,BHS,194,1997
2252633,BIH,550,1997
2257650,BLR,577,1997
2262667,BLZ,169,1997
2267684,BMU,59,1997
2272701,BOL,200,1997
2277718,BRA,802,1997
2282735,BRB,369,1997
2287752,BRN,91,1997
2292769,BTN,101,1997
2297786,CAF,66,1997
2302803,CAN,846,1997
2307820,CCK,65,1997
2312837,CHE,1232,1997
2317854,CHL,442,1997
2322871,CHN,1676,1997
2327888,CIV,294,1997
2332905,CMR,144,1997
2337922,COD,65,1997
2342939,COG,39,1997
2347956,COK,158,1997
2352973,COL,503,1997
2357990,COM,76,1997
2363007,CPV,155,1997
2368024,CRI,502,1997
2373041,CUB,109,1997
2378058,CXR,50,1997
2383075,CYM,102,1997
2388092,CYP,656,1997
2393109,CZE,1530,1997
2398126,DEU,2168,1997
2403143,DJI,193,1997
2408160,DMA,323,1997
2413177,DNK,1115,1997
2418194,DOM,362,1997
2423211,DZA,74,1997
2428228,ECU,217,1997
2433245,EGY,588,1997
2438262,ERI,77,1997
2443279,ESP,1591,1997
2448296,EST,766,1997
2453313,ETH,91,1997
2458330,FIN,804,1997
2463347,FJI,259,1997
2468364,FLK,65,1997
2473381,FRA,1806,1997
2478398,FSM,51,1997
2483415,GAB,46,1997
2488432,GBR,1667,1997
2493449,GEO,452,1997
2498466,GHA,216,1997
2503483,GIB,169,1997
2508500,GIN,82,1997
2513517,GMB,158,1997
2518534,GNB,54,1997
2523551,GNQ,25,1997
2528568,GRC,952,1997
2533585,GRD,180,1997
2538602,GRL,66,1997
2543619,GTM,579,1997
2548636,GUY,154,1997
2553653,HKG,1362,1997
2558670,HND,404,1997
2563687,HRV,938,1997
2568704,HTI,234,1997
2573721,HUN,1103,1997
2578738,IDN,916,1997
2583755,IND,1388,1997
2588772,IOT,38,1997
2593789,IRL,698,1997
2598806,IRN,244,1997
2603823,IRQ,8,1997
2608840,ISL,239,1997
2613857,ISR,782,1997
2618874,ITA,2062,1997
2623891,JAM,270,1997
2628908,JOR,429,1997
2633925,JPN,1280,1997
2638942,KAZ,359,1997
2643959,KEN,621,1997
2648976,KGZ,409,1997
2653993,KHM,192,1997
2659010,KIR,41,1997
2664027,KNA,156,1997
2669044,KOR,1114,1997
2674061,KWT,36,1997
2679078,LAO,325,1997
2684095,LBN,773,1997
2689112,LBR,26,1997
2694129,LBY,47,1997
2699146,LCA,198,1997
2704163,LKA,498,1997
2709180,LTU,874,1997
2714197,LVA,649,1997
2719214,MAC,427,1997
2724231,MAR,576,1997
2729248,MDA,378,1997
2734265,MDG,357,1997
2739282,MDV,93,1997
2744299,MEX,787,1997
2749316,MHL,40,1997
2754333,MKD,730,1997
2759350,MLI,147,1997
2764367,MLT,358,1997
2769384,MMR,301,1997
2774401,MNG,184,1997
2779418,MNP,61,1997
2784435,MOZ,141,1997
2789452,MRT,79,1997
2794469,MSR,77,1997
2799486,MUS,404,1997
2804503,MWI,254,1997
2809520,MYS,615,1997
2814537,NCL,43,1997
2819554,NER,188,1997
2824571,NFK,34,1997
2829588,NGA,89,1997
2834605,NIC,261,1997
2839622,NIU,33,1997
2844639,NLD,1457,1997
2849656,NOR,527,1997
2854673,NPL,302,1997
2859690,NRU,60,1997
2864707,NZL,672,1997
2869724,OMN,188,1997
2874741,PAK,524,1997
2879758,PAN,599,1997
2884775,PCN,27,1997
2889792,PER,425,1997
2894809,PHL,542,1997
2899826,PLW,46,1997
2904843,PNG,64,1997
2909860,POL,1288,1997
2914877,PRK,617,1997
2919894,PRT,1049,1997
2924911,PRY,224,1997
2929928,PUS,310,1997
2934945,PYF,135,1997
2939962,QAT,33,1997
2944979,ROU,971,1997
2949996,RUS,627,1997
2955013,RWA,96,1997
2960030,S19,1520,1997
2965047,SAU,97,1997
2970064,SCG,897,1997
2975081,SDN,121,1997
2980098,SEN,313,1997
2985115,SGP,694,1997
2990132,SHN,173,1997
2995149,SLB,47,1997
3000166,SLE,152,1997
3005183,SLV,430,1997
3010200,SOM,76,1997
3015217,SPM,97,1997
3020234,STP,93,1997
