,country,log_likelihood,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
76,PAN,0.8602101325862694,27,50.253200943319186,-0.4501953125,1,1
77,SLV,0.8137345200660077,21,51.32163137232233,-0.44140625,1,1
78,IDN,1.8159330029113758,23,50.997657924669255,-0.39306640625,1,1
79,GRL,2.222122592966172,33,53.925496998538456,-0.39013671875,1,1
80,COK,2.1850556782407726,24,49.09167546539066,-0.380615234375,1,1
81,RWA,1.2692195285344445,53,55.451970287912516,-0.369384765625,1,1
82,PHL,1.9228967666543182,33,56.51419655902024,-0.35693359375,1,1
83,JAM,1.6547101020638364,26,51.110110934688095,-0.3466796875,1,1
84,VCT,2.2708459389423767,23,50.361038444610365,-0.343994140625,1,1
85,NAM,1.3547995495650351,34,51.90118575394054,-0.343994140625,1,1
86,SYC,2.2821175733090233,29,49.4254951167256,-0.33935546875,1,1
87,ANT,1.7234114421046638,35,55.28681387580653,-0.324462890625,1,1
88,UZB,2.1616886353990727,45,55.143846774506436,-0.298828125,1,1
89,KGZ,1.9920329165739932,28,50.20544880190652,-0.262939453125,1,1
90,FLK,3.9920441658396406,27,48.48878842946491,-0.2427978515625,1,1
91,MDA,1.4607663501763422,36,53.918158410229076,-0.2320556640625,1,1
92,CAF,1.6683918847639996,32,51.22013483625197,-0.224609375,1,1
93,NER,1.4013590769746558,39,55.830609493988526,-0.2066650390625,1,1
94,ZWE,2.465467688223089,31,56.82231085535897,-0.206298828125,1,1
95,SEN,1.2197224859567035,46,57.68903762384536,-0.18701171875,1,1
96,MKD,1.68372509944333,33,55.79632712627872,-0.1827392578125,1,1
97,WSM,1.7793285848806,35,54.07941469805929,-0.16064453125,1,1
98,PLW,2.7873768597383473,29,51.06146755588447,-0.1397705078125,1,1
99,EGY,1.7107820685558435,26,48.75800704178258,-0.1378173828125,1,1
100,LBY,3.4560313563723306,29,48.97485514841809,-0.08984375,1,1
101,OMN,3.630626488846357,25,49.96476692025136,-0.08349609375,1,1
102,JOR,1.6935987519161015,27,53.896204001676004,-0.07891845703125,1,1
103,ERI,1.8512213249707936,28,50.82840732815286,-0.052825927734375,1,1
