country,kl_divergence,clarity,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
CAF,2.7694886710138147,0.11762699464386384,27,65.57789737574679,-0.1441466,0,2.0
FLK,2.9926059162121366,0.2916904207757838,36,61.07670300402557,-0.12662345,1,4.0
PLW,2.2816552614489845,0.0873103518434204,19,62.907517074883586,-0.12129853,0,1.0
JOR,1.2872756804005687,0.2568891166291074,24,60.582082145259925,-0.117384516,0,1.0
KGZ,1.722462128672016,0.08269266524806573,30,64.96881155559554,-0.117041,1,2.0
ARM,1.7826433808732625,0.1208651147728741,24,61.985970647954595,-0.08392011,0,1.0
OMN,1.6719289131172141,0.19358160080193798,31,64.78480280394253,-0.018691698,0,3.0
PCN,1.791938835514067,0.052871586366303736,30,64.95737812064317,-0.013534556,0,1.0
PSE,0.9743199767974167,0.08548101490487137,29,62.57444071926443,-0.010393238,0,0.5
MAC,1.7477522079039582,0.07675369989672376,27,65.05830006910081,-0.009271627,0,1.0
GEO,1.1831103532739835,0.033431934010425546,23,62.96167169047244,0.034390084,1,0.5
TTO,2.0276741384501085,0.11091996567113971,26,61.963546995073145,0.035562705,0,1.0
SWZ,1.0810004625719487,0.08984807191202526,26,64.43427853459546,0.096751004,1,1.0
ATF,2.418782204953135,0.23466179638692064,30,61.20954081027855,0.10383426,1,3.0
LBN,0.7660059546746552,0.07480457578022492,34,63.93984132471049,0.10800103,1,3.0
IRN,0.9733679936885034,0.057923085044071176,32,62.851864186186006,0.117774256,1,1.0
AUS,1.0723752897972987,0.0541641139880904,34,63.90992375019054,0.1367391,0,2.0
BHR,1.343719602972214,0.1445296666653233,31,62.633883286432145,0.13829513,1,2.0
GRC,0.5506472836132466,0.07524819267387772,32,64.79120001460117,0.15580869,0,1.0
GRD,2.133368260021354,0.24810238335237078,30,64.73039363614285,0.16109921,1,3.0
CHL,1.4448938044687891,0.08617498943616131,36,62.44563454491491,0.17828375,1,1.0
SLE,1.1015465599408283,0.05225333620618933,30,63.8868024477631,0.1784035,1,1.0
DMA,1.2186363546672896,0.0042792114499637934,25,62.87505052445852,0.18373333,leontief,1.0
WSM,1.39961349045445,0.009416077219816299,29,65.35516621196142,0.18415566,-9,3.0
PAN,1.8529546100382477,0.11204627649912868,23,64.48749343660525,0.18668972,1,3.0
URY,1.2685329992935,0.07119915909810481,27,62.042285631859244,0.19347651,0,1.0
TKL,1.5437348338403272,0.08067489030581432,29,64.5731984767391,0.20480482,0,1.0
LCA,1.4663786681293913,0.1862411724734384,29,65.31770392591976,0.20674883,1,2.0
BTN,2.598261492357316,0.1976506749069098,25,62.115245765696,0.20882726,0,2.0
BRN,2.104063713267053,0.12934548026498716,27,63.3653884562167,0.22291598,1,3.0
CYM,1.995118394664197,0.14373070608429617,26,65.04995992172942,0.23932856,1,2.0
COK,2.9751612152227036,0.3123883607916318,30,61.398432273114246,0.25167853,0,3.0
ISL,1.5521070793247473,0.15412654631073464,30,62.47973573659114,0.25867707,1,3.0
CRI,0.8931655124454497,0.08912088422757303,23,64.85687718002677,0.25965413,0,4.0
ARE,0.742126808680687,0.12566354060374363,28,65.01043896243864,0.2620592,1,1.0
TUR,0.4054385023140581,0.09432660441320584,27,65.17928154803313,0.2653498,-9,4.0
COL,1.2390311241777607,0.08247659410597385,25,66.77762345694842,0.27973026,1,2.0
SXM,1.5974766364734108,0.02155710896836216,27,66.38230003311027,0.29323706,-9,4.0
KAZ,1.6147853553976586,0.08179294326275721,26,60.3337336023825,0.30129647,-3,3.0
